,StateName,Abbrev,Date,AvgPrice,Type,MORTGAGE30US,MonthlyPayment,AvgRent
120,Missouri,MO,2015-03-31,285790.80810152245,Multifamily,3.69,703.05,876.8404875478221
121,Wisconsin,WI,2015-03-31,240305.44804107817,Multifamily,3.69,591.15,913.2655235802946
122,Colorado,CO,2015-03-31,430075.8063010546,Multifamily,3.69,1057.99,972.37011928771
123,Minnesota,MN,2015-03-31,335482.2160160699,Multifamily,3.69,825.29,923.3443047272224
124,South Carolina,SC,2015-03-31,316744.455285241,Multifamily,3.69,779.19,951.0486034334214
125,Alabama,AL,2015-03-31,319331.31214688066,Multifamily,3.69,785.56,909.7622837709808
126,Louisiana,LA,2015-03-31,327226.04390130326,Multifamily,3.69,804.98,930.0673121891383
127,Kentucky,KY,2015-03-31,280985.82473461545,Multifamily,3.69,691.23,905.2496751801375
128,Oregon,OR,2015-03-31,414891.0851428052,Multifamily,3.69,1020.63,901.8001093070035
129,Oklahoma,OK,2015-03-31,302869.2374876958,Multifamily,3.69,745.06,841.3245900266539
130,Connecticut,CT,2015-03-31,592417.26464209,Multifamily,3.69,1457.35,1219.9626807617044
131,Utah,UT,2015-03-31,324009.34048950596,Multifamily,3.69,797.06,950.154781433002
132,Iowa,IA,2015-03-31,269283.68371845206,Multifamily,3.69,662.44,881.4340557193744
133,Nevada,NV,2015-03-31,344307.70622933,Multifamily,3.69,847.0,879.6051756143522
134,Arkansas,AR,2015-03-31,306180.90043526056,Multifamily,3.69,753.21,879.05111228159
135,Mississippi,MS,2015-03-31,276336.44458931923,Multifamily,3.69,679.79,842.9815997385654
136,Kansas,KS,2015-03-31,271758.1067078027,Multifamily,3.69,668.52,820.6950128915444
137,New Mexico,NM,2015-03-31,309036.6683576011,Multifamily,3.69,760.23,868.3257114993364
138,Nebraska,NE,2015-03-31,259517.88797809757,Multifamily,3.69,638.41,839.8100174667217
139,Idaho,ID,2015-03-31,255367.32291124124,Multifamily,3.69,628.2,828.7338603689258
140,West Virginia,ID,2015-03-31,218921.05995509293,Multifamily,3.69,538.55,828.7338603689258
141,Hawaii,HI,2015-03-31,832122.3604176011,Multifamily,3.69,2047.02,1237.915587383098
142,New Hampshire,NH,2015-03-31,356753.60250444204,Multifamily,3.69,877.61,1044.4762964321649
143,Maine,ME,2015-03-31,292954.63929637335,Multifamily,3.69,720.67,1029.3154565421855
144,Rhode Island,RI,2015-03-31,399465.64535093337,Multifamily,3.69,982.69,1112.359698964291
145,Montana,MT,2015-03-31,319344.2792878677,Multifamily,3.69,785.59,954.8659031098148
146,Delaware,DE,2015-03-31,419515.5999002369,Multifamily,3.69,1032.01,1135.2629811953682
147,South Dakota,SD,2015-03-31,275057.215631838,Multifamily,3.69,676.64,1146.565534393489
148,North Dakota,ND,2015-03-31,330749.33398258506,Multifamily,3.69,813.64,839.1776360817112
149,Alaska,AK,2015-03-31,431866.8876565301,Multifamily,3.69,1062.39,1040.0680559705397
151,Vermont,VT,2015-03-31,317431.4442047823,Multifamily,3.69,780.88,923.9123042484031
152,Wyoming,WY,2015-03-31,325809.31253982004,Multifamily,3.69,801.49,824.7158639245748
153,California,CA,2015-04-30,700067.3159141582,Multifamily,3.68,1717.5,1289.809220122141
154,Texas,TX,2015-04-30,366954.2139213825,Multifamily,3.68,900.26,942.887012244857
155,Florida,FL,2015-04-30,405916.2064644753,Multifamily,3.68,995.85,1034.7240145949143
156,New York,NY,2015-04-30,438945.1549559525,Multifamily,3.68,1076.88,1015.6695690705873
157,Pennsylvania,PA,2015-04-30,293189.4993243185,Multifamily,3.68,719.29,910.118102905203
158,Illinois,IL,2015-04-30,356856.4656769876,Multifamily,3.68,875.49,872.1982010158906
159,Ohio,OH,2015-04-30,252598.6369889518,Multifamily,3.68,619.71,877.9719957222325
160,Georgia,GA,2015-04-30,319468.4022740204,Multifamily,3.68,783.76,931.3439847487122
161,North Carolina,NC,2015-04-30,377130.3507519778,Multifamily,3.68,925.23,920.7376678646807
162,Michigan,MI,2015-04-30,256641.6041873671,Multifamily,3.68,629.63,897.5800827632618
163,New Jersey,NJ,2015-04-30,622308.8235649384,Multifamily,3.68,1526.73,1103.0826702207985
164,Virginia,VA,2015-04-30,528506.61864352,Multifamily,3.68,1296.6,997.2681800411294
165,Washington,WA,2015-04-30,427389.1076003804,Multifamily,3.68,1048.53,926.7601003890551
166,Arizona,AZ,2015-04-30,355081.025275561,Multifamily,3.68,871.13,948.8834700599639
167,Massachusetts,MA,2015-04-30,639099.545920324,Multifamily,3.68,1567.92,1224.06815112123
168,Tennessee,TN,2015-04-30,344362.3585018737,Multifamily,3.68,844.84,924.124495420096
169,Indiana,IN,2015-04-30,265939.1523736888,Multifamily,3.68,652.44,840.3934156907455
170,Maryland,MD,2015-04-30,486278.4152482936,Multifamily,3.68,1193.0,1022.2643162103346
171,Missouri,MO,2015-04-30,287063.5327059087,Multifamily,3.68,704.26,879.0358498492656
172,Wisconsin,WI,2015-04-30,241324.05829839595,Multifamily,3.68,592.05,918.1002483617378
173,Colorado,CO,2015-04-30,433250.8605879387,Multifamily,3.68,1062.91,965.623243643338
174,Minnesota,MN,2015-04-30,337289.5940592574,Multifamily,3.68,827.48,930.4351888269504
175,South Carolina,SC,2015-04-30,318159.8116837089,Multifamily,3.68,780.55,953.6945305841057
176,Alabama,AL,2015-04-30,320494.37418937084,Multifamily,3.68,786.28,913.6583336112934
177,Louisiana,LA,2015-04-30,328710.7046204459,Multifamily,3.68,806.44,932.2530411073172
178,Kentucky,KY,2015-04-30,282126.8853038804,Multifamily,3.68,692.15,909.2098335852822
179,Oregon,OR,2015-04-30,417481.8633730773,Multifamily,3.68,1024.22,910.4516877752102
180,Oklahoma,OK,2015-04-30,303865.83535308717,Multifamily,3.68,745.48,841.7608679651189
181,Connecticut,CT,2015-04-30,593300.2924791421,Multifamily,3.68,1455.56,1226.9158557887547
182,Utah,UT,2015-04-30,326065.4077071675,Multifamily,3.68,799.95,950.9793433038813
183,Iowa,IA,2015-04-30,270542.173691426,Multifamily,3.68,663.73,883.6735942278009
184,Nevada,NV,2015-04-30,346860.1973640162,Multifamily,3.68,850.96,880.7392542021452
185,Arkansas,AR,2015-04-30,306983.42333246727,Multifamily,3.68,753.13,883.3031358366694
186,Mississippi,MS,2015-04-30,278103.9960178028,Multifamily,3.68,682.28,844.9048888887991
187,Kansas,KS,2015-04-30,272687.2312260315,Multifamily,3.68,668.99,820.2480716669222
188,New Mexico,NM,2015-04-30,310099.0766060163,Multifamily,3.68,760.78,868.1347768679491
189,Nebraska,NE,2015-04-30,260835.29202434747,Multifamily,3.68,639.92,839.5162270452132
190,Idaho,ID,2015-04-30,257200.96481867696,Multifamily,3.68,631.0,833.90302251202
191,West Virginia,ID,2015-04-30,219856.8545585162,Multifamily,3.68,539.38,833.90302251202
192,Hawaii,HI,2015-04-30,833372.4521420855,Multifamily,3.68,2044.54,1246.7864692972573
193,New Hampshire,NH,2015-04-30,358492.4896274635,Multifamily,3.68,879.5,1049.7359406409028
194,Maine,ME,2015-04-30,293963.7631630352,Multifamily,3.68,721.19,1039.2397629496863
195,Rhode Island,RI,2015-04-30,400851.150882019,Multifamily,3.68,983.42,1112.4929461673305
196,Montana,MT,2015-04-30,321185.0957374869,Multifamily,3.68,787.97,955.2482851870878
197,Delaware,DE,2015-04-30,420446.03051291587,Multifamily,3.68,1031.49,1139.6256397940829
198,South Dakota,SD,2015-04-30,276484.41546571377,Multifamily,3.68,678.31,1157.1086666013928
199,North Dakota,ND,2015-04-30,333087.6644276826,Multifamily,3.68,817.18,838.9481050587394
200,Alaska,AK,2015-04-30,432781.60489776736,Multifamily,3.68,1061.76,1047.8162280351355
202,Vermont,VT,2015-04-30,318305.49315573875,Multifamily,3.68,780.91,927.503184491435
203,Wyoming,WY,2015-04-30,327290.5596428442,Multifamily,3.68,802.95,826.6286008264404
204,California,CA,2015-05-31,702299.8345344561,Multifamily,3.87,1811.93,1299.2083658874544
205,Texas,TX,2015-05-31,368802.6530340261,Multifamily,3.87,951.51,947.3287430240513
206,Florida,FL,2015-05-31,406990.1360848667,Multifamily,3.87,1050.03,1039.484533779392
207,New York,NY,2015-05-31,440253.1001382579,Multifamily,3.87,1135.85,1021.5004179896866
208,Pennsylvania,PA,2015-05-31,294139.6536458654,Multifamily,3.87,758.88,910.6680596049557
209,Illinois,IL,2015-05-31,357878.7415522416,Multifamily,3.87,923.33,858.6065133983072
210,Ohio,OH,2015-05-31,253438.50217300633,Multifamily,3.87,653.87,880.2824794305391
211,Georgia,GA,2015-05-31,320824.99052722217,Multifamily,3.87,827.73,936.9860584095104
212,North Carolina,NC,2015-05-31,378204.81293973577,Multifamily,3.87,975.77,923.9141002370242
213,Michigan,MI,2015-05-31,258107.58620040552,Multifamily,3.87,665.92,899.5461699538554
214,New Jersey,NJ,2015-05-31,623402.0816529668,Multifamily,3.87,1608.38,1114.7781953824085
215,Virginia,VA,2015-05-31,528321.5567214873,Multifamily,3.87,1363.07,1001.0320191716668
216,Washington,WA,2015-05-31,430232.74268952146,Multifamily,3.87,1110.0,931.5063860575851
